in Sa,Frequency in Hz,Gain in dB,Phase in °,Amplitude in Vpp
1.00E+00,1.000E+01,-1.769E+01,7.449E+01,4.940E-01
2.00E+00,1.047E+01,-1.778E+01,-6.683E+01,4.940E-01
3.00E+00,1.096E+01,-1.789E+01,-6.827E+01,4.940E-01
4.00E+00,1.148E+01,-1.882E+01,7.342E+01,4.940E-01
5.00E+00,1.202E+01,-1.889E+01,7.335E+01,4.940E-01
6.00E+00,1.259E+01,-1.953E+01,7.147E+01,4.940E-01
7.00E+00,1.318E+01,-2.002E+01,7.034E+01,4.940E-01
8.00E+00,1.380E+01,-2.040E+01,6.673E+01,4.940E-01
9.00E+00,1.445E+01,-2.045E+01,6.827E+01,4.940E-01
1.00E+01,1.514E+01,-2.119E+01,6.541E+01,4.940E-01
1.10E+01,1.585E+01,-2.133E+01,6.514E+01,4.940E-01
1.20E+01,1.660E+01,-2.175E+01,6.427E+01,4.940E-01
1.30E+01,1.738E+01,-2.195E+01,6.446E+01,4.940E-01
1.40E+01,1.820E+01,-2.252E+01,6.181E+01,4.940E-01
1.50E+01,1.905E+01,-2.310E+01,5.883E+01,4.940E-01
1.60E+01,1.995E+01,-2.329E+01,5.831E+01,4.940E-01
1.70E+01,2.089E+01,-2.043E+01,-9.067E+01,4.940E-01
1.80E+01,2.188E+01,-2.366E+01,5.765E+01,4.940E-01
1.90E+01,2.291E+01,-2.387E+01,5.732E+01,4.940E-01
2.00E+01,2.399E+01,-2.464E+01,5.406E+01,4.940E-01
2.10E+01,2.512E+01,-2.445E+01,5.509E+01,4.940E-01
2.20E+01,2.630E+01,-2.483E+01,5.403E+01,4.940E-01
2.30E+01,2.754E+01,-2.105E+01,-9.670E+01,4.940E-01
2.40E+01,2.884E+01,-2.611E+01,4.736E+01,4.940E-01
2.50E+01,3.020E+01,-3.759E+01,-1.134E+02,4.940E-01
2.60E+01,3.162E+01,-3.751E+01,-1.146E+02,4.940E-01
2.70E+01,3.311E+01,-3.726E+01,-1.139E+02,4.940E-01
2.80E+01,3.467E+01,-3.687E+01,-1.130E+02,4.940E-01
2.90E+01,3.631E+01,-3.626E+01,-1.121E+02,4.940E-01
3.00E+01,3.802E+01,-3.584E+01,-1.113E+02,4.940E-01
3.10E+01,3.981E+01,-3.561E+01,-1.122E+02,4.940E-01
3.20E+01,4.169E+01,-3.517E+01,-1.112E+02,4.940E-01
3.30E+01,4.365E+01,-3.478E+01,-1.111E+02,4.940E-01
